,time,code,ampshift,fsl,onset,spkamp,pspamp,exptname,nspk
1253,170.38627499999998,T,40.0,4.554554554554555,2.052052052052052,11.1846923828125,11.322021484375,20200718_010,0
1255,170.708385,T,-5.0,5.505505505505505,2.8528528528528527,11.810302734375,12.02392578125,20200718_010,0
1257,170.995995,T,-10.0,5.9559559559559565,2.9529529529529532,12.237548828125,12.1612548828125,20200718_010,0
1259,171.217065,T,0.0,5.155155155155155,2.3023023023023024,11.9781494140625,11.8560791015625,20200718_010,0
1267,172.333845,T,-40.0,,,0.0,-0.0762939453125,20200718_010,0
1269,172.593695,T,-20.0,6.606606606606607,3.3533533533533535,11.3677978515625,11.04736328125,20200718_010,0
1271,172.88340499999998,T,30.0,4.604604604604605,2.052052052052052,11.322021484375,11.474609375,20200718_010,0
1273,173.199795,T,10.0,4.954954954954956,2.2522522522522523,12.2833251953125,12.420654296875,20200718_010,0
1275,173.443345,T,5.0,5.055055055055055,2.5025025025025025,11.7340087890625,11.871337890625,20200718_010,0
1277,173.707775,T,-30.0,7.6576576576576585,5.205205205205205,7.720947265625,7.6751708984375,20200718_010,0
1279,174.01034499999997,T,20.0,4.854854854854855,2.052052052052052,12.0697021484375,11.90185546875,20200718_010,0
1281,174.291215,T,40.0,4.504504504504505,2.052052052052052,11.1541748046875,11.3677978515625,20200718_010,0
1283,174.57114499999997,T,-5.0,5.555555555555555,2.7527527527527527,12.5274658203125,12.481689453125,20200718_010,0
1285,174.84185499999998,T,-10.0,5.9059059059059065,3.003003003003003,11.9781494140625,12.0391845703125,20200718_010,0
1287,175.12174499999998,T,-0.0,5.255255255255256,2.552552552552553,11.4288330078125,11.5203857421875,20200718_010,0
1295,176.25250499999999,T,-40.0,,,0.0,-0.030517578125,20200718_010,0
1297,176.492055,T,-20.0,6.706706706706707,3.3033033033033035,11.5203857421875,11.5814208984375,20200718_010,0
1299,176.73940499999998,T,30.0,4.604604604604605,2.052052052052052,11.199951171875,11.4898681640625,20200718_010,0
1301,177.05155499999998,T,10.0,5.005005005005005,2.052052052052052,11.9171142578125,11.8255615234375,20200718_010,0
1303,177.33798499999997,T,5.0,4.954954954954956,2.052052052052052,12.1917724609375,11.9476318359375,20200718_010,0
1305,177.60465499999998,T,-30.0,7.5575575575575575,5.055055055055055,7.171630859375,7.0648193359375,20200718_010,0
1307,177.863005,T,20.0,4.654654654654655,2.052052052052052,11.90185546875,11.65771484375,20200718_010,0
1309,178.117775,T,40.0,4.554554554554555,2.052052052052052,11.322021484375,11.383056640625,20200718_010,0
1311,178.36832499999997,T,-5.0,5.555555555555555,2.4524524524524525,12.237548828125,12.176513671875,20200718_010,0
1313,178.591695,T,-10.0,5.805805805805806,2.802802802802803,12.237548828125,12.115478515625,20200718_010,0
1315,178.87346499999998,T,-0.0,5.255255255255256,2.5025025025025025,12.115478515625,11.90185546875,20200718_010,0
1323,179.80350499999997,T,-40.0,,,0.0,-0.030517578125,20200718_010,0
1325,180.11045499999997,T,-20.0,6.606606606606607,3.5535535535535536,11.383056640625,11.3372802734375,20200718_010,0
1327,180.42178499999997,T,30.0,4.654654654654655,2.052052052052052,11.65771484375,11.6119384765625,20200718_010,0
1329,180.72525499999998,T,10.0,4.954954954954956,2.1021021021021022,11.962890625,11.932373046875,20200718_010,0
1331,180.87928499999998,T,5.0,5.205205205205205,2.2022022022022023,12.0849609375,12.054443359375,20200718_010,0
1333,181.00841499999999,T,-30.0,8.458458458458459,6.306306306306307,6.591796875,6.866455078125,20200718_010,0
1335,181.13296499999998,T,20.0,4.904904904904905,2.052052052052052,11.0931396484375,11.016845703125,20200718_010,0
1337,181.327475,T,40.0,4.554554554554555,2.052052052052052,11.16943359375,11.29150390625,20200718_010,0
1339,181.60106499999998,T,-5.0,5.7057057057057055,2.7527527527527527,12.0849609375,12.1002197265625,20200718_010,0
1341,181.88241499999998,T,-10.0,5.8558558558558556,2.652652652652653,12.3138427734375,12.1612548828125,20200718_010,0
1343,182.189045,T,0.0,5.255255255255256,2.652652652652653,12.0086669921875,12.054443359375,20200718_010,0
1351,183.208905,T,-40.0,,,0.0,-0.0457763671875,20200718_010,0
1353,183.52029499999998,T,-20.0,6.806806806806807,3.6036036036036037,10.955810546875,11.2152099609375,20200718_010,0
1355,183.812965,T,30.0,4.654654654654655,2.052052052052052,11.810302734375,11.8865966796875,20200718_010,0
1357,184.102795,T,10.0,4.904904904904905,2.052052052052052,11.993408203125,11.8255615234375,20200718_010,0
1359,184.262185,T,5.0,5.205205205205205,2.1021021021021022,11.7034912109375,11.505126953125,20200718_010,0
1361,184.526175,T,-30.0,7.6076076076076085,5.205205205205205,7.476806640625,7.3699951171875,20200718_010,0
1363,184.81166499999998,T,20.0,4.804804804804806,2.052052052052052,11.7034912109375,11.6424560546875,20200718_010,0
1365,185.17395499999998,T,40.0,4.404404404404405,2.052052052052052,11.199951171875,11.2457275390625,20200718_010,0
1367,185.495185,T,-5.0,5.655655655655655,2.7027027027027026,11.8865966796875,12.0391845703125,20200718_010,0
1369,185.799355,T,-10.0,5.8558558558558556,2.7527527527527527,11.962890625,11.8560791015625,20200718_010,0
1371,186.131185,T,0.0,5.305305305305306,2.552552552552553,12.1307373046875,12.14599609375,20200718_010,0
1379,187.380645,T,-40.0,,,0.0,0.091552734375,20200718_010,0
1381,187.68015499999998,T,-20.0,6.556556556556557,3.5035035035035036,11.5203857421875,11.5814208984375,20200718_010,0
1383,187.964545,T,30.0,4.604604604604605,2.052052052052052,11.0015869140625,11.0626220703125,20200718_010,0
1385,188.30915499999998,T,10.0,4.804804804804806,2.052052052052052,12.3138427734375,12.1307373046875,20200718_010,0
1387,188.45118499999998,T,5.0,5.155155155155155,2.3523523523523524,11.23046875,11.2457275390625,20200718_010,0
1389,188.718155,T,-30.0,7.5575575575575575,5.205205205205205,6.9580078125,6.89697265625,20200718_010,0
1391,189.00840499999998,T,20.0,4.654654654654655,2.052052052052052,12.1002197265625,12.0697021484375,20200718_010,0
1393,189.30737499999998,T,40.0,4.554554554554555,2.052052052052052,11.41357421875,11.505126953125,20200718_010,0
1395,189.55182499999998,T,-5.0,5.605605605605606,2.902902902902903,12.1002197265625,12.176513671875,20200718_010,0
1397,189.79741499999997,T,-10.0,5.9059059059059065,2.8528528528528527,11.6424560546875,11.505126953125,20200718_010,0
1399,190.071645,T,0.0,5.255255255255256,2.552552552552553,11.9476318359375,11.9476318359375,20200718_010,0
1407,191.26852499999998,T,-40.0,,,0.0,-0.06103515625,20200718_010,0
1409,191.538795,T,-20.0,6.856856856856857,3.5535535535535536,11.383056640625,11.4288330078125,20200718_010,0
1411,191.843065,T,30.0,4.654654654654655,2.052052052052052,11.6119384765625,11.5509033203125,20200718_010,0
1413,192.15101499999997,T,10.0,5.005005005005005,2.052052052052052,12.0086669921875,11.9476318359375,20200718_010,0
1415,192.43328499999998,T,5.0,5.205205205205205,2.5025025025025025,11.4898681640625,11.4898681640625,20200718_010,0
1417,192.677955,T,-30.0,7.807807807807809,5.205205205205205,7.415771484375,7.4920654296875,20200718_010,0
1419,192.94686499999997,T,20.0,4.804804804804806,2.052052052052052,11.9171142578125,11.7950439453125,20200718_010,0
1421,193.25525499999998,T,40.0,4.454454454454455,2.052052052052052,11.29150390625,11.444091796875,20200718_010,0
1423,193.557405,T,-5.0,5.455455455455456,2.1021021021021022,12.237548828125,12.14599609375,20200718_010,0
1425,193.84899499999997,T,-10.0,5.9059059059059065,2.8528528528528527,11.749267578125,11.65771484375,20200718_010,0
1427,194.100945,T,0.0,5.105105105105106,2.5025025025025025,11.4288330078125,11.5203857421875,20200718_010,0
1435,195.204545,T,-40.0,,,0.0,-0.0762939453125,20200718_010,0
1437,195.30915499999998,T,-20.0,6.556556556556557,3.5535535535535536,11.3525390625,11.4898681640625,20200718_010,0
1439,195.40790499999997,T,30.0,4.654654654654655,2.052052052052052,11.077880859375,11.0931396484375,20200718_010,0
1441,195.52065499999998,T,10.0,5.005005005005005,2.052052052052052,11.04736328125,10.894775390625,20200718_010,0
1443,195.63490499999997,T,5.0,5.255255255255256,2.1021021021021022,11.3372802734375,11.1846923828125,20200718_010,0
1445,195.737395,T,-30.0,7.907907907907909,6.806806806806807,1.0986328125,5.279541015625,20200718_010,0
1447,195.82624499999997,T,20.0,4.954954954954956,2.052052052052052,11.5814208984375,11.5966796875,20200718_010,0
1449,195.92125499999997,T,40.0,4.554554554554555,2.052052052052052,10.528564453125,10.650634765625,20200718_010,0
175,28.174407499999997,T,-5.0,5.255255255255256,2.152152152152152,6.4239501953125,6.3323974609375,20200718_007,0
177,28.4620975,T,5.0,5.505505505505505,2.052052052052052,7.049560546875,6.77490234375,20200718_007,0
179,28.7824675,T,0.0,5.7057057057057055,2.2522522522522523,6.9732666015625,6.5765380859375,20200718_007,0
181,28.915757499999998,T,40.0,,,0.0,6.439208984375,20200718_007,0
183,29.082387499999996,T,-20.0,7.207207207207207,3.853853853853854,5.1727294921875,5.126953125,20200718_007,0
185,29.298417499999996,T,-30.0,8.608608608608607,5.355355355355355,3.47900390625,3.265380859375,20200718_007,0
187,29.601987499999996,T,-10.0,6.056056056056057,2.7027027027027026,6.3934326171875,6.0272216796875,20200718_007,0
189,29.800897499999998,T,20.0,,,0.0,6.6375732421875,20200718_007,0
191,30.0639075,T,-40.0,,,0.0,-0.1373291015625,20200718_007,0
193,30.351617499999996,T,30.0,,,0.0,6.8511962890625,20200718_007,0
195,30.650267499999998,T,10.0,5.255255255255256,2.052052052052052,7.2479248046875,6.927490234375,20200718_007,0
203,31.837367499999996,T,-5.0,5.7057057057057055,2.6026026026026026,6.683349609375,6.4239501953125,20200718_007,0
205,32.1313775,T,5.0,5.355355355355355,2.1021021021021022,6.6680908203125,6.5155029296875,20200718_007,0
207,32.4284075,T,0.0,5.505505505505505,2.652652652652653,6.683349609375,6.7138671875,20200718_007,0
209,32.7113575,T,40.0,,,0.0,7.0037841796875,20200718_007,0
211,33.0134275,T,-20.0,7.107107107107107,3.653653653653654,5.31005859375,5.2947998046875,20200718_007,0
213,33.3081575,T,-30.0,8.258258258258259,4.754754754754755,3.662109375,3.936767578125,20200718_007,0
215,33.6023675,T,-10.0,6.056056056056057,2.902902902902903,6.4239501953125,6.2103271484375,20200718_007,0
217,33.866117499999994,T,20.0,4.954954954954956,2.052052052052052,7.14111328125,6.9580078125,20200718_007,0
219,34.1718675,T,-40.0,,,0.0,0.0152587890625,20200718_007,0
221,34.4622975,T,30.0,,,0.0,6.866455078125,20200718_007,0
223,34.6095675,T,10.0,5.555555555555555,2.052052052052052,7.232666015625,7.0953369140625,20200718_007,0
231,35.660307499999995,T,-5.0,5.555555555555555,2.3523523523523524,6.561279296875,6.3629150390625,20200718_007,0
233,35.9393775,T,5.0,5.405405405405405,2.052052052052052,7.14111328125,7.0343017578125,20200718_007,0
