,time,code,ampshift,pspamp,exptname
4366,534.6839024999999,T,10.0,12.6953125,20200712_000
4368,534.9518324999999,T,-40.0,0.1373291015625,20200712_000
4370,535.1452025,T,-20.0,4.302978515625,20200712_000
4378,536.0628025,T,-10.0,4.69970703125,20200712_000
4380,536.2500325,T,20.0,12.4969482421875,20200712_000
4382,536.5203224999999,T,40.0,13.3514404296875,20200712_000
4384,536.7587125,T,30.0,12.7410888671875,20200712_000
4386,536.9430225,T,-5.0,6.2408447265625,20200712_000
4388,537.1361525,T,5.0,12.7410888671875,20200712_000
4390,537.3216024999999,T,-0.0,7.354736328125,20200712_000
4392,537.5907525,T,-30.0,2.532958984375,20200712_000
4394,537.8460225,T,10.0,12.786865234375,20200712_000
4396,538.1226325,T,-40.0,0.0,20200712_000
4398,538.4116224999999,T,-20.0,3.6773681640625,20200712_000
4406,539.3863024999999,T,-10.0,4.608154296875,20200712_000
4408,539.5968925,T,20.0,12.603759765625,20200712_000
4410,539.8436025,T,40.0,13.0462646484375,20200712_000
4412,540.1139925,T,30.0,12.420654296875,20200712_000
4414,540.3944025,T,-5.0,6.1492919921875,20200712_000
4416,540.6307525,T,5.0,8.1024169921875,20200712_000
4418,540.8667224999999,T,0.0,7.3699951171875,20200712_000
4420,541.1469324999999,T,-30.0,1.9378662109375,20200712_000
4422,541.4235625,T,10.0,12.7716064453125,20200712_000
4424,541.6968125,T,-40.0,-0.213623046875,20200712_000
4426,541.9760225,T,-20.0,3.5552978515625,20200712_000
4434,542.9378425,T,-10.0,4.8065185546875,20200712_000
4436,543.1837125,T,20.0,13.00048828125,20200712_000
4438,543.4242025,T,40.0,12.969970703125,20200712_000
4440,543.6678525,T,30.0,11.9781494140625,20200712_000
4442,543.9594424999999,T,-5.0,6.439208984375,20200712_000
4444,544.1756124999999,T,5.0,12.0391845703125,20200712_000
4446,544.3639025,T,0.0,7.2174072265625,20200712_000
4448,544.5179125,T,-30.0,2.288818359375,20200712_000
4450,544.6709024999999,T,10.0,12.8631591796875,20200712_000
4452,544.8327724999999,T,-40.0,-0.06103515625,20200712_000
4454,544.9891624999999,T,-20.0,3.23486328125,20200712_000
4462,545.6090025,T,-10.0,4.119873046875,20200712_000
4464,545.7787125,T,20.0,12.481689453125,20200712_000
4466,545.9677025,T,40.0,12.969970703125,20200712_000
4468,546.1811524999999,T,30.0,12.8936767578125,20200712_000
4470,546.3802025,T,-5.0,5.584716796875,20200712_000
4472,546.5705925,T,5.0,12.6495361328125,20200712_000
4474,546.7717624999999,T,0.0,6.8817138671875,20200712_000
4476,547.0549524999999,T,-30.0,2.3651123046875,20200712_000
4478,547.3158024999999,T,10.0,12.5885009765625,20200712_000
4480,547.5855124999999,T,-40.0,-0.1068115234375,20200712_000
4482,547.8316424999999,T,-20.0,3.631591796875,20200712_000
4490,548.6053025,T,-10.0,4.241943359375,20200712_000
4492,548.8552324999999,T,20.0,12.7716064453125,20200712_000
4494,549.1063624999999,T,40.0,12.8021240234375,20200712_000
4496,549.2977125,T,30.0,12.5579833984375,20200712_000
4498,549.5721024999999,T,-5.0,5.584716796875,20200712_000
4500,549.8483924999999,T,5.0,8.4381103515625,20200712_000
4502,550.1209624999999,T,0.0,7.99560546875,20200712_000
4504,550.3321525,T,-30.0,2.4566650390625,20200712_000
4506,550.6014425,T,10.0,12.725830078125,20200712_000
4508,550.8741725,T,-40.0,-0.2899169921875,20200712_000
4510,551.1610625,T,-20.0,3.2806396484375,20200712_000
4518,552.2712224999999,T,-10.0,4.9285888671875,20200712_000
4520,552.5457124999999,T,20.0,12.725830078125,20200712_000
4522,552.8144024999999,T,40.0,13.1988525390625,20200712_000
4524,553.0951325,T,30.0,12.7410888671875,20200712_000
4526,553.3477224999999,T,-5.0,5.615234375,20200712_000
4528,553.5650125,T,5.0,12.26806640625,20200712_000
4530,553.8430424999999,T,0.0,7.0953369140625,20200712_000
4532,554.1252925,T,-30.0,2.1209716796875,20200712_000
