,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
130,17.182564999999997,T,-10.0,,,,,,,,,20200621,20200621_002
132,17.392415,T,5.0,5.217391304347825,11.1236572265625,,,,,,,20200621,20200621_002
140,18.432914999999998,T,40.0,3.260869565217391,9.7808837890625,5.2675585284280935,9.2010498046875,,,,,20200621,20200621_002
142,18.660864999999998,T,-30.0,,,,,,,,,20200621,20200621_002
144,18.937634999999997,T,-40.0,,,,,,,,,20200621,20200621_002
146,19.160525,T,-20.0,,,,,,,,,20200621,20200621_002
148,19.369954999999997,T,-5.0,,,,,,,,,20200621,20200621_002
150,19.574865,T,10.0,4.816053511705685,9.521484375,,,,,,,20200621,20200621_002
152,19.805335,T,20.0,4.1638795986622075,9.490966796875,6.77257525083612,9.8114013671875,,,,,20200621,20200621_002
154,20.067024999999997,T,0.0,6.421404682274247,10.5133056640625,,,,,,,20200621,20200621_002
156,20.341314999999998,T,30.0,3.6622073578595313,9.5367431640625,5.769230769230768,9.9639892578125,,,,,20200621,20200621_002
158,20.594845,T,-10.0,,,,,,,,,20200621,20200621_002
160,20.868534999999998,T,5.0,5.367892976588628,9.5062255859375,,,,,,,20200621,20200621_002
168,21.740654999999997,T,40.0,3.311036789297659,9.368896484375,5.217391304347825,9.6435546875,,,,,20200621,20200621_002
170,21.911444999999997,T,-30.0,,,,,,,,,20200621,20200621_002
172,22.086615,T,-40.0,,,,,,,,,20200621,20200621_002
174,22.253545,T,-20.0,,,,,,,,,20200621,20200621_002
176,22.434414999999998,T,-5.0,7.675585284280936,11.41357421875,,,,,,,20200621,20200621_002
178,22.624605,T,10.0,4.966555183946488,9.9029541015625,,,,,,,20200621,20200621_002
180,22.828654999999998,T,20.0,4.1638795986622075,9.3994140625,6.57190635451505,9.1400146484375,,,,,20200621,20200621_002
182,23.029445,T,0.0,7.073578595317725,10.8489990234375,,,,,,,20200621,20200621_002
184,23.249975,T,30.0,3.712374581939799,9.9029541015625,5.8193979933110365,10.2386474609375,,,,,20200621,20200621_002
186,23.480945,T,-10.0,,,,,,,,,20200621,20200621_002
188,23.701714999999997,T,5.0,5.167224080267558,10.772705078125,,,,,,,20200621,20200621_002
196,24.658655,T,40.0,3.311036789297659,11.077880859375,5.217391304347825,11.2152099609375,,,,,20200621,20200621_002
198,24.981644999999997,T,-30.0,,,,,,,,,20200621,20200621_002
200,25.208254999999998,T,-40.0,,,,,,,,,20200621,20200621_002
202,25.500745,T,-20.0,,,,,,,,,20200621,20200621_002
204,25.703535,T,-5.0,7.224080267558528,12.1612548828125,,,,,,,20200621,20200621_002
206,25.966465,T,10.0,4.816053511705685,11.932373046875,,,,,,,20200621,20200621_002
208,26.235515,T,20.0,4.113712374581939,11.2457275390625,6.521739130434782,11.1541748046875,,,,,20200621,20200621_002
210,26.516184999999997,T,0.0,6.57190635451505,12.359619140625,,,,,,,20200621,20200621_002
212,26.808435,T,30.0,3.612040133779264,11.1846923828125,5.668896321070234,11.2152099609375,,,,,20200621,20200621_002
214,27.107264999999998,T,-10.0,,,,,,,,,20200621,20200621_002
216,27.390714999999997,T,5.0,5.418060200668896,11.8560791015625,,,,,,,20200621,20200621_002
224,28.542514999999998,T,40.0,3.260869565217391,11.260986328125,5.117056856187291,11.3372802734375,,,,,20200621,20200621_002
226,28.831324999999996,T,-30.0,,,,,,,,,20200621,20200621_002
228,29.122414999999997,T,-40.0,,,,,,,,,20200621,20200621_002
230,29.404304999999997,T,-20.0,,,,,,,,,20200621,20200621_002
232,29.683414999999997,T,-5.0,7.4749163879598655,11.6119384765625,,,,,,,20200621,20200621_002
234,29.971964999999997,T,10.0,4.7157190635451505,10.80322265625,,,,,,,20200621,20200621_002
236,30.171335,T,20.0,4.113712374581939,11.16943359375,6.3712374581939795,11.2152099609375,,,,,20200621,20200621_002
238,30.348204999999997,T,-0.0,6.521739130434782,12.237548828125,,,,,,,20200621,20200621_002
240,30.542135,T,30.0,3.612040133779264,11.688232421875,5.769230769230768,11.688232421875,,,,,20200621,20200621_002
242,30.748704999999998,T,-10.0,,,,,,,,,20200621,20200621_002
244,30.958214999999996,T,5.0,5.8193979933110365,13.5498046875,,,,,,,20200621,20200621_002
252,31.901714999999996,T,40.0,3.260869565217391,12.87841796875,5.217391304347825,12.02392578125,,,,,20200621,20200621_002
254,32.180045,T,-30.0,,,,,,,,,20200621,20200621_002
256,32.425914999999996,T,-40.0,,,,,,,,,20200621,20200621_002
258,32.701004999999995,T,-20.0,,,,,,,,,20200621,20200621_002
260,32.994915,T,-5.0,7.775919732441471,14.6636962890625,,,,,,,20200621,20200621_002
262,33.232205,T,10.0,4.765886287625418,13.8702392578125,,,,,,,20200621,20200621_002
264,33.479535,T,20.0,4.113712374581939,13.7481689453125,6.521739130434782,13.763427734375,,,,,20200621,20200621_002
266,33.759805,T,0.0,6.57190635451505,14.434814453125,,,,,,,20200621,20200621_002
268,34.020554999999995,T,30.0,3.6622073578595313,14.312744140625,5.668896321070234,14.6331787109375,,,,,20200621,20200621_002
270,34.288824999999996,T,-10.0,,,,,,,,,20200621,20200621_002
272,34.566815,T,5.0,5.418060200668896,14.251708984375,,,,,,,20200621,20200621_002
280,35.680515,T,40.0,3.260869565217391,13.4429931640625,5.217391304347825,13.48876953125,,,,,20200621,20200621_002
282,35.954344999999996,T,-30.0,,,,,,,,,20200621,20200621_002
284,36.127934999999994,T,-40.0,,,,,,,,,20200621,20200621_002
286,36.269324999999995,T,-20.0,,,,,,,,,20200621,20200621_002
288,36.439175,T,-5.0,9.030100334448159,14.0380859375,,,,,,,20200621,20200621_002
290,36.630205,T,10.0,4.966555183946488,13.5345458984375,,,,,,,20200621,20200621_002
