,time,code,ampshift,fsl,onset,spkamp,exptname
529,69.83213749999999,T,-5.0,3.1220813875917277,2.6417611741160774,19.7906494140625,20200531_005
532,70.2268775,T,-0.0,2.961974649766511,2.541694462975317,19.8822021484375,20200531_005
535,70.62163749999999,T,5.0,2.8418945963975983,2.3815877251500996,20.1416015625,20200531_005
539,71.0164375,T,-30.0,4.863242161440961,4.342895263509005,20.4010009765625,20200531_005
542,71.4111775,T,20.0,2.6217478318879253,2.141427618412275,19.6380615234375,20200531_005
545,71.8059375,T,40.0,2.4816544362908606,2.021347565043362,19.500732421875,20200531_005
548,72.20073749999999,T,-10.0,3.2621747831887924,2.8619079386257504,19.71435546875,20200531_005
551,72.59547749999999,T,-40.0,6.944629753168779,6.524349566377585,18.157958984375,20200531_005
554,72.99023749999999,T,10.0,2.741827885256838,2.201467645096731,19.134521484375,20200531_005
565,74.37193749999999,T,-20.0,3.8025350233488995,3.382254836557705,18.85986328125,20200531_005
568,74.7666775,T,30.0,2.5216811207471648,2.0613742494996665,18.3563232421875,20200531_005
572,75.1614575,T,-5.0,3.0820547031354235,2.6417611741160774,18.3868408203125,20200531_005
575,75.5562375,T,-0.0,2.961974649766511,2.4416277518345564,18.2647705078125,20200531_005
579,75.9509775,T,5.0,2.8418945963975983,2.3015343562374913,18.310546875,20200531_005
582,76.3457375,T,-30.0,4.8232154769846565,4.342895263509005,18.1427001953125,20200531_005
585,76.74053749999999,T,20.0,2.6217478318879253,2.081387591727818,17.9443359375,20200531_005
588,77.13527749999999,T,40.0,2.4816544362908606,2.021347565043362,17.88330078125,20200531_005
592,77.53003749999999,T,-10.0,3.2821881254169445,2.8418945963975983,17.608642578125,20200531_005
595,77.9247975,T,-40.0,8.065376917945297,4.202801867911941,17.2882080078125,20200531_005
224,42.084905,T,30.0,2.561707805203469,2.021347565043362,32.8216552734375,20200531_006
228,42.481244999999994,T,-30.0,6.204136090727151,4.142761841227485,31.8145751953125,20200531_006
231,42.877584999999996,T,-40.0,,,0.0,20200531_006
234,43.273945,T,-20.0,4.122748498999333,3.2621747831887924,32.9742431640625,20200531_006
237,43.67026499999999,T,5.0,2.901934623082054,2.361574382921948,32.806396484375,20200531_006
240,44.066604999999996,T,0.0,3.0620413609072714,2.541694462975317,32.623291015625,20200531_006
244,44.462945,T,-10.0,3.502334889926618,2.9219479653102067,32.745361328125,20200531_006
