,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
206,42.668567499999995,T,0.0,,,,,,,,,20200129,20200129_009
208,43.06238749999999,T,-40.0,,,,,,,,,20200129,20200129_009
210,43.4562075,T,40.0,3.8313856427378963,59.2041015625,5.634390651085142,52.3529052734375,,,,,20200129,20200129_009
212,43.850067499999994,T,-10.0,,,,,,,,,20200129,20200129_009
214,44.2438875,T,-20.0,,,,,,,,,20200129,20200129_009
216,44.6377075,T,-5.0,,,,,,,,,20200129,20200129_009
223,46.016127499999996,T,20.0,5.484140233722871,61.03515625,,,,,,,20200129,20200129_009
225,46.40996749999999,T,10.0,4.507512520868113,61.2030029296875,,,,,,,20200129,20200129_009
227,46.8038075,T,-30.0,,,,,,,,,20200129,20200129_009
229,47.197627499999996,T,30.0,3.4808013355592653,61.46240234375,,,,,,,20200129,20200129_009
231,47.59148749999999,T,5.0,5.083472454090151,62.0269775390625,,,,,,,20200129,20200129_009
233,47.9853075,T,0.0,,,,,,,,,20200129,20200129_009
235,48.379129999999996,T,-40.0,,,,,,,,,20200129,20200129_009
237,48.77296749999999,T,40.0,4.081803005008347,62.103271484375,6.76126878130217,59.0667724609375,,,,,20200129,20200129_009
239,49.1668075,T,-10.0,,,,,,,,,20200129,20200129_009
241,49.560667499999994,T,-20.0,,,,,,,,,20200129,20200129_009
243,49.9544875,T,-5.0,,,,,,,,,20200129,20200129_009
250,51.3329075,T,20.0,,,,,,,,,20200129,20200129_009
252,51.726747499999995,T,10.0,,,,,,,,,20200129,20200129_009
254,52.12058749999999,T,-30.0,,,,,,,,,20200129,20200129_009
256,52.5144075,T,30.0,4.933222036727879,62.8814697265625,,,,,,,20200129,20200129_009
258,52.908247499999995,T,5.0,,,,,,,,,20200129,20200129_009
260,53.30208749999999,T,0.0,,,,,,,,,20200129,20200129_009
262,53.6959075,T,-40.0,,,,,,,,,20200129,20200129_009
264,54.089747499999994,T,40.0,3.756260434056761,60.97412109375,5.584307178631051,54.19921875,,,,,20200129,20200129_009
266,54.48356749999999,T,-10.0,8.363939899833055,61.614990234375,,,,,,,20200129,20200129_009
268,54.8774075,T,-20.0,,,,,,,,,20200129,20200129_009
270,55.271247499999994,T,-5.0,6.485809682804674,60.8673095703125,,,,,,,20200129,20200129_009
277,56.64968749999999,T,20.0,4.833055091819699,59.8297119140625,,,,,,,20200129,20200129_009
279,57.0434875,T,10.0,6.160267111853088,59.2803955078125,,,,,,,20200129,20200129_009
281,57.437327499999995,T,-30.0,,,,,,,,,20200129,20200129_009
283,57.83116749999999,T,30.0,4.7328881469115185,59.99755859375,,,,,,,20200129,20200129_009
285,58.2249875,T,5.0,,,,,,,,,20200129,20200129_009
287,58.618827499999995,T,0.0,,,,,,,,,20200129,20200129_009
289,59.01266749999999,T,-40.0,,,,,,,,,20200129,20200129_009
291,59.4064875,T,40.0,3.5559265442404007,58.6700439453125,6.76126878130217,56.671142578125,,,,,20200129,20200129_009
293,59.800327499999995,T,-10.0,5.809682804674457,59.9365234375,,,,,,,20200129,20200129_009
295,60.19416749999999,T,-20.0,,,,,,,,,20200129,20200129_009
297,60.5879875,T,-5.0,,,,,,,,,20200129,20200129_009
304,61.966407499999995,T,20.0,,,,,,,,,20200129,20200129_009
306,62.36022749999999,T,10.0,,,,,,,,,20200129,20200129_009
308,62.7540675,T,-30.0,,,,,,,,,20200129,20200129_009
310,63.147887499999996,T,30.0,4.131886477462437,57.67822265625,,,,,,,20200129,20200129_009
312,63.54172749999999,T,5.0,,,,,,,,,20200129,20200129_009
5,1.8261675,T,40.0,2.704507512520868,21.331787109375,,,,,,,20200129,20200129_010
7,2.2199875,T,0.0,3.230383973288814,21.8505859375,,,,,,,20200129,20200129_010
9,2.6138274999999997,T,-10.0,3.5308848080133552,22.125244140625,,,,,,,20200129,20200129_010
11,3.0076474999999996,T,-40.0,7.888146911519199,22.216796875,,,,,,,20200129,20200129_010
13,3.4014675,T,20.0,2.8797996661101837,21.5606689453125,,,,,,,20200129,20200129_010
15,3.7952874999999997,T,5.0,3.130217028380634,21.66748046875,,,,,,,20200129,20200129_010
17,4.1891275,T,-5.0,3.4056761268781304,21.97265625,,,,,,,20200129,20200129_010
19,4.5829474999999995,T,10.0,3.030050083472454,21.240234375,,,,,,,20200129,20200129_010
