,time,code,ampshift,fsl,onset,spkamp,exptname,animalID
690,87.61755249999999,T,-5.0,7.064709806537691,5.263509006004003,55.2978515625,20200531_001,20200531
694,87.9243525,T,10.0,5.4436290860573715,3.8025350233488995,56.365966796875,20200531_001,20200531
708,89.1731925,T,-20.0,,,0.0,20200531_001,20200531
712,89.6753325,T,0.0,6.504336224149433,1.2208138759172782,60.0738525390625,20200531_001,20200531
716,90.2495525,T,-30.0,,,0.0,20200531_001,20200531
720,90.78051249999999,T,-40.0,,,0.0,20200531_001,20200531
724,91.2821925,T,30.0,4.462975316877918,3.0820547031354235,60.1348876953125,20200531_001,20200531
728,91.84413249999999,T,20.0,4.983322214809873,3.2621747831887924,60.6536865234375,20200531_001,20200531
732,92.4621325,T,-10.0,,,0.0,20200531_001,20200531
736,93.05625249999999,T,40.0,4.062708472314877,2.901934623082054,60.72998046875,20200531_001,20200531
740,93.67449249999999,T,5.0,6.144096064042695,4.442961974649767,61.82861328125,20200531_001,20200531
744,94.27429249999999,T,-5.0,,,0.0,20200531_001,20200531
748,94.87709249999999,T,10.0,5.8438959306204135,4.062708472314877,62.9119873046875,20200531_001,20200531
762,96.96425249999999,T,-20.0,,,0.0,20200531_001,20200531
766,97.57909249999999,T,0.0,8.28552368245497,4.843228819212809,60.455322265625,20200531_001,20200531
770,98.2094925,T,-30.0,,,0.0,20200531_001,20200531
774,98.7594125,T,-40.0,,,0.0,20200531_001,20200531
778,99.1562125,T,30.0,4.683122081387592,3.2621747831887924,60.8673095703125,20200531_001,20200531
782,99.48535249999999,T,20.0,5.2434956637758505,3.5223482321547697,60.8673095703125,20200531_001,20200531
786,99.81347249999999,T,-10.0,,,0.0,20200531_001,20200531
790,100.1417125,T,40.0,4.122748498999333,3.002001334222815,59.7076416015625,20200531_001,20200531
794,100.49479249999999,T,5.0,6.984656437625083,4.402935290193462,59.5703125,20200531_001,20200531
798,100.85073249999999,T,-5.0,,,0.0,20200531_001,20200531
802,101.2488525,T,10.0,5.943962641761174,4.242828552368246,59.2498779296875,20200531_001,20200531
816,103.12719249999999,T,-20.0,,,0.0,20200531_001,20200531
820,103.7253325,T,-0.0,,,0.0,20200531_001,20200531
824,104.3136325,T,-30.0,,,0.0,20200531_001,20200531
828,104.94853249999998,T,-40.0,,,0.0,20200531_001,20200531
832,105.60099249999999,T,30.0,4.683122081387592,1.040693795863909,57.3883056640625,20200531_001,20200531
836,106.27381249999999,T,20.0,5.283522348232155,1.1407605070046698,56.915283203125,20200531_001,20200531
840,106.9338325,T,-10.0,,,0.0,20200531_001,20200531
844,107.56341249999998,T,40.0,4.122748498999333,3.002001334222815,55.389404296875,20200531_001,20200531
848,108.17419249999999,T,5.0,6.744496330887258,4.242828552368246,55.694580078125,20200531_001,20200531
852,108.82671249999999,T,-5.0,,,0.0,20200531_001,20200531
856,109.45391249999999,T,10.0,5.943962641761174,4.082721814543029,55.17578125,20200531_001,20200531
870,111.67195249999999,T,-20.0,,,0.0,20200531_001,20200531
874,112.30549249999999,T,0.0,11.347565043362241,4.783188792528351,52.764892578125,20200531_001,20200531
878,112.9577925,T,-30.0,,,0.0,20200531_001,20200531
882,113.57241249999998,T,-40.0,,,0.0,20200531_001,20200531
886,114.2838525,T,30.0,4.703135423615744,2.961974649766511,54.595947265625,20200531_001,20200531
